Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-07-14,2030423,WITHDRAWAL,0.0,249.0,0.0
2024-07-14,2350711,DEBIT,99.0,0.0,339.63
2024-07-16,1501129,WITHDRAWAL,0.0,250.0,0.0
2024-07-16,1864932,DEBIT,49.0,0.0,40.63
2024-07-16,1865044,CREDIT,1865044.0,0.0,0.0
2024-07-17,936691,DEBIT,49.0,0.0,40.63
2024-07-18,1355663,DEPOSIT,0.0,1355663.0,0.0
2024-07-20,1143981,DEBIT,10.0,0.0,710.63
2024-07-22,973357,WITHDRAWAL,0.0,166.0,0.0
2024-07-22,1148381,DEBIT,29.0,0.0,515.63
2024-07-22,1660346,WITHDRAWAL,0.0,100.0,0.0
2024-07-22,2139978,DEPOSIT,0.0,2139978.0,0.0
2024-07-23,799739,DEBIT,19.0,0.0,1396.63
2024-07-23,918995,WITHDRAWAL,0.0,100.0,0.0
2024-07-23,1655700,DEBIT,20.0,0.0,1276.63
2024-07-23,1656500,DEBIT,29.0,0.0,1247.63
2024-07-24,1050171,DEPOSIT,0.0,1050171.0,0.0
2024-07-26,2250345,DEBIT,20.0,0.0,1727.63
2024-07-26,2321985,DEBIT,19.0,0.0,1708.63
2024-07-27,1446654,DEBIT,49.0,0.0,1659.63
2024-07-28,208244,DEBIT,49.0,0.0,1610.63
2024-07-29,459777,DEPOSIT,0.0,459777.0,0.0
2024-07-29,616712,WITHDRAWAL,0.0,616712.0,0.0
2024-07-29,1247687,WITHDRAWAL,0.0,150.0,0.0
2024-07-29,1899485,WITHDRAWAL,0.0,200.0,0.0
2024-07-30,1807445,WITHDRAWAL,0.0,580.0,0.0
2024-07-30,1821910,WITHDRAWAL,0.0,100.0,0.0
2024-07-30,2243407,WITHDRAWAL,0.0,2243407.0,0.0
2024-07-31,1325770,DEBIT,49.0,0.0,1481.63
2024-07-31,924013883,CREDIT,0.0,924013883.0,0.0
2024-08-03,1742291,WITHDRAWAL,0.0,145.0,0.0
2024-08-03,2319394,WITHDRAWAL,0.0,185.0,0.0
2024-08-04,1948370,WITHDRAWAL,0.0,190.0,0.0
2024-08-05,2489625,WITHDRAWAL,0.0,265.0,0.0
2024-08-06,1325711,WITHDRAWAL,0.0,231.0,0.0
2024-08-06,1426897,WITHDRAWAL,0.0,100.0,0.0
2024-08-07,6742,DEBIT,49.0,0.0,1326.05
2024-08-08,2130243,WITHDRAWAL,0.0,2130243.0,0.0
2024-08-09,2071642,WITHDRAWAL,0.0,190.0,0.0
2024-08-10,1939087,WITHDRAWAL,0.0,146.0,0.0
2024-08-10,1976086,WITHDRAWAL,0.0,225.0,0.0
2024-08-12,1985416,DEBIT,99.0,0.0,613.05
2024-08-16,983986,WITHDRAWAL,0.0,110.0,0.0
2024-08-17,1816020,WITHDRAWAL,0.0,125.0,0.0
2024-08-19,2032458,DEBIT,99.0,0.0,279.05
2024-08-22,1028658,WITHDRAWAL,0.0,1028658.0,0.0
2024-08-25,950023085,DEBIT,99.0,0.0,134.05
